frequency_hz,Original,CEEMDAN,VMD-SSA,VMD-MPE (threshold 0.60)
13.452363180366048,0.15648453292506745,0.1639551583488841,0.15645726865864967,0.15638799483215768
13.574657391096647,0.1577604157589065,0.16284003563259108,0.15773876808025236,0.15768313155903577
13.696951601827248,0.15988516985372497,0.16540858522994412,0.15986834807325037,0.1598247842820967
13.819245812557849,0.16050769161801792,0.16857102667067614,0.1604951658620138,0.16046269968145715
13.941540023288448,0.15848498703838632,0.16616024703035515,0.1584761990509683,0.15845365300669573
14.06383423401905,0.15686611716556603,0.16211141542032595,0.15686028849149833,0.15684575950661267
14.186128444749649,0.1562131510525293,0.16148690535977706,0.15620956851230314,0.15620121550520077
14.30842265548025,0.15604482485460688,0.16349078132191525,0.15604286106248424,0.15603897670598774
14.430716866210851,0.15534681901956446,0.16337999643860662,0.15534588693076357,0.15534481762036073
14.55301107694145,0.1538310582636294,0.1602956183114941,0.15383056638708376,0.1538306600991065
14.675305287672051,0.15296479288218962,0.15807484294347024,0.15296413969856398,0.15296378651631426
14.797599498402652,0.15192339312936196,0.15811738139326698,0.15192196648774575,0.15191960909944635
14.919893709133252,0.15049322335211776,0.15884126673707252,0.15049038633322884,0.15048454172216374
15.042187919863853,0.14816320260100677,0.1558160751991538,0.14815832720112973,0.14814763934405623
15.164482130594454,0.1465175610460866,0.15183364194256038,0.14650996833792918,0.146493076657634
15.286776341325053,0.14382736811577243,0.14976291547297413,0.14381648174867998,0.14379228240259376
15.409070552055654,0.14106239321691066,0.14935687383271729,0.14104763633229037,0.14101504755512867
15.531364762786254,0.1399620285468794,0.14784044323803705,0.13994263501791757,0.13990013957105332
15.653658973516855,0.13831881582733685,0.1443206491296613,0.13829428612070907,0.13824087736571383
15.775953184247456,0.13649050198030985,0.1430832392890435,0.1364603754481087,0.13639504741157965
15.898247394978055,0.1352250565302951,0.14402599749347927,0.13518876065395666,0.13511016770975218
16.020541605708654,0.13322292155984639,0.14176793785250524,0.13318027565451676,0.13308783684257816
16.142835816439256,0.13399147207180911,0.14082962373491492,0.1339411575532649,0.13383173546979849
16.265130027169857,0.13616517157098051,0.14298364986379955,0.13610601042517065,0.1359767357762958
16.387424237900458,0.13435360984050615,0.14304910116942857,0.13428683181379295,0.1341401285431608
16.50971844863106,0.13204937829660485,0.14162348451977771,0.13197501624713764,0.13181075470306428
16.632012659361656,0.134081320071451,0.1423308388533133,0.13399646973886506,0.13380805862632772
16.754306870092257,0.13714122550300448,0.14420540942937662,0.1370443678779411,0.13682831344677882
16.87660108082286,0.138027302487189,0.1464679919169295,0.1379191359515495,0.1376769998538698
16.99889529155346,0.1369270458639524,0.14737788069355642,0.13680857215305137,0.1365427379802141
17.12118950228406,0.13672174552726288,0.14586373986421075,0.13659170605263182,0.1362995801465089
17.243483713014662,0.1381428522577196,0.14508895026858248,0.13799899611392902,0.13767577934466627
17.36577792374526,0.14148169739117605,0.15014921447760768,0.14132099219653732,0.14096014007528365
17.48807213447586,0.142455394501963,0.1534520181914411,0.14227954302797716,0.14188509026795593
17.61036634520646,0.14121793998446677,0.15090714581964226,0.14102916893339815,0.14060622239030326
17.732660555937063,0.14211805954481396,0.14977845010081198,0.14191305872173007,0.14145422238347904
17.854954766667664,0.14484104370365306,0.15338834076291258,0.1446163468775415,0.14411382116042332
