time_s,original,denoised,removed_noise
0.321044921875,-0.11,-0.11076012257378268,-0.001149881964566122
0.3212890625,-0.11,-0.11402545216521448,-0.0008857556738029128
0.321533203125,-0.102,-0.11683679777453464,-0.0003231752391957016
0.32177734375,-0.11,-0.11968202987472458,0.0003562543681694758
0.322021484375,-0.102,-0.12270478514979562,0.001008521748585079
0.322265625,-0.126,-0.12619634058285048,0.001479480302949677
0.322509765625,-0.118,-0.12972182875553415,0.001771189895924849
0.32275390625,-0.126,-0.13355246803308027,0.001790795113465779
0.322998046875,-0.126,-0.13774081517666606,0.001518170950324064
0.3232421875,-0.134,-0.142401184085594,0.0009721423037776926
0.323486328125,-0.142,-0.14745841051563402,0.0002512780742853138
0.32373046875,-0.142,-0.15279972254756946,-0.0005089383151662335
0.323974609375,-0.15,-0.15853884973430205,-0.001203719220948877
0.32421875,-0.158,-0.1645283872602838,-0.001688714316295035
0.324462890625,-0.166,-0.17057260614161956,-0.001839658789645491
0.32470703125,-0.181,-0.17638810573973984,-0.001572290318596083
0.324951171875,-0.173,-0.181660049506581,-0.0008788938857460258
0.3251953125,-0.189,-0.18662841963806442,6.85737980672915e-05
0.325439453125,-0.181,-0.19111543256610725,0.001113168444965986
0.32568359375,-0.189,-0.19547038730340383,0.001987680381648115
0.325927734375,-0.189,-0.1997911518950866,0.00249712618978858
0.326171875,-0.197,-0.2042529179006781,0.002507512498161591
0.326416015625,-0.197,-0.20891194878122848,0.002002206425957216
0.32666015625,-0.205,-0.2139509568860576,0.001046870741835624
0.326904296875,-0.213,-0.21933488944434207,-0.00016317057322181
0.3271484375,-0.221,-0.22493023702847734,-0.0013596363119933
0.327392578125,-0.236,-0.23053878651163584,-0.002262634282550405
0.32763671875,-0.236,-0.23579079525768176,-0.002625389795334039
0.327880859375,-0.236,-0.2407859321140473,-0.002396663926671099
0.328125,-0.252,-0.24558768230776207,-0.001640249967046574
0.328369140625,-0.236,-0.2499327548006701,-0.000472562070998814
0.32861328125,-0.244,-0.25435992953560027,0.0007739330928277724
0.328857421875,-0.26,-0.25874618224774837,0.001873181194898239
0.3291015625,-0.26,-0.262654236379497,0.002690604843741768
0.329345703125,-0.268,-0.2661052169807816,0.003062283570051131
0.32958984375,-0.252,-0.26920936202025414,0.00287947183454266
0.329833984375,-0.268,-0.2726183758794232,0.002046906556876494
0.330078125,-0.26,-0.2762820972831981,0.0007220218507095773
0.330322265625,-0.276,-0.2805171067297076,-0.000883682090831352
0.33056640625,-0.284,-0.28504885722391343,-0.002385878748739473
0.330810546875,-0.3,-0.28958109706432505,-0.003401544627788107
0.3310546875,-0.307,-0.29366095300916645,-0.003620773459832357
0.331298828125,-0.292,-0.2972111041721706,-0.00297496013766872
0.33154296875,-0.3,-0.3008127922948939,-0.001697100354146759
0.331787109375,-0.307,-0.30437298146311614,-3.733503813425088e-05
0.33203125,-0.292,-0.30780535404333004,0.001672198218341782
0.332275390625,-0.307,-0.31153709174306476,0.002998327746485122
0.33251953125,-0.307,-0.3152046739054064,0.003718211819843275
0.332763671875,-0.307,-0.3187334323900882,0.003681683730656478
0.3330078125,-0.315,-0.32210244745922634,0.002878056945375449
0.333251953125,-0.315,-0.32508403200817254,0.001488143474972473
0.33349609375,-0.323,-0.3275988434217271,-0.0002067184230118415
0.333740234375,-0.331,-0.3294067399535965,-0.001825485868689082
0.333984375,-0.355,-0.3300638804344135,-0.002955549029312891
0.334228515625,-0.323,-0.32907897840542083,-0.003284506667977337
0.33447265625,-0.339,-0.32741047621313746,-0.002917323194277144
0.334716796875,-0.315,-0.3251179871740599,-0.001953302530867096
0.3349609375,-0.307,-0.3231019735644842,-0.000741948451143835
0.335205078125,-0.315,-0.3218697459161661,0.0004044819069526513
0.33544921875,-0.315,-0.3211922619601714,0.001340050953975693
0.335693359375,-0.315,-0.32094299019988876,0.001955445192086666
0.3359375,-0.315,-0.3209803144351964,0.002202349306583051
0.336181640625,-0.323,-0.32105893207739056,0.002110495044498217
0.33642578125,-0.323,-0.3207140738831872,0.001790896581292818
0.336669921875,-0.323,-0.3196844821379702,0.001332416163783389
0.3369140625,-0.307,-0.3179232868656855,0.000777808484312075
0.337158203125,-0.315,-0.31574269248764303,0.0001076191836745637
0.33740234375,-0.3,-0.31292837969981013,-0.0005897090665965535
0.337646484375,-0.307,-0.3096856310991816,-0.001276163587254545
0.337890625,-0.307,-0.30567197720561,-0.001800246783722149
0.338134765625,-0.3,-0.3006432518132551,-0.00203356877343859
0.33837890625,-0.292,-0.294641757802875,-0.001934712059987297
0.338623046875,-0.284,-0.2878000404940837,-0.001522296478501892
0.3388671875,-0.292,-0.2801049488325283,-0.0008289565942172881
0.339111328125,-0.26,-0.2713092102748836,0.0001033154633364049
0.33935546875,-0.26,-0.2621506192190057,0.001017065060410601
0.339599609375,-0.244,-0.2526900597908657,0.001768178577560481
0.33984375,-0.236,-0.2431708217427353,0.002211771987456679
0.340087890625,-0.221,-0.23373280384673997,0.002268669807144689
0.34033203125,-0.221,-0.22450241688045372,0.001928411139004339
0.340576171875,-0.213,-0.21519077648421064,0.001314964035546879
0.3408203125,-0.205,-0.20561881171944088,0.0005679859632547313
0.341064453125,-0.189,-0.1957253168597491,-0.0001913104139111266
0.34130859375,-0.181,-0.18563748388062987,-0.0008858845538300345
0.341552734375,-0.173,-0.17525542079365536,-0.001414347419069085
0.341796875,-0.158,-0.16445816666661336,-0.001696325797037611
0.342041015625,-0.15,-0.15329115768039886,-0.001713701021837579
0.34228515625,-0.126,-0.14172085101789358,-0.001467356227879214
0.342529296875,-0.134,-0.12997199518321773,-0.00102236547785521
0.3427734375,-0.126,-0.1174148962026375,-0.0003117178971969611
0.343017578125,-0.102,-0.10389707786019851,0.0006034600600361755
0.34326171875,-0.087,-0.08992208223016777,0.001495795290628894
0.343505859375,-0.055,-0.07597297248648516,0.002131858729045641
0.34375,-0.047,-0.06288099568918062,0.002270557939721406
